event_id,action_name,event_source,start_frame,end_frame,start_time_sec,end_time_sec,defined_at_frame,defined_at_time_sec,total_frames,pinch_detected_frames,active_std_total_norm,minimum_thumb_ip_angle,repeated_number,touch_with_index_seen,touch_with_index_thumb_opened_seen,touching_pinch_or_supporting_seen,rubbing_and_smelling_seen,pulling_dead_leaves_seen
1,PULLING DEAD LEAVES,pinch,138,146,4.567,4.833,147,4.867,9,9,0.472,160.291,0,0,0,1,0,1
2,PULLING DEAD LEAVES,pinch,153,239,5.067,7.933,240,7.967,87,87,0.484,161.739,7,0,0,1,0,1
3,TOUCHING,pinch,243,245,8.067,8.133,246,8.167,3,3,0.000,169.080,0,0,0,1,0,0
4,PULLING DEAD LEAVES,pinch,330,344,10.967,11.433,345,11.467,15,15,0.830,152.737,0,0,0,1,0,1
5,RUBBING & SMELLING,pinch,354,437,11.767,14.533,438,14.567,84,84,0.133,164.804,3,0,0,1,1,0
6,PULLING DEAD LEAVES,pinch,579,590,19.267,19.633,591,19.667,12,12,0.683,158.030,0,0,0,1,0,1
7,PULLING DEAD LEAVES,pinch,594,692,19.767,23.033,693,23.067,99,99,0.798,151.874,7,0,0,1,0,1
8,PULLING DEAD LEAVES,pinch,780,791,25.967,26.333,792,26.367,12,12,0.763,162.377,1,0,0,1,0,1
9,PULLING DEAD LEAVES,pinch,795,878,26.467,29.233,879,29.267,84,84,0.407,151.547,7,0,0,1,0,1
10,PULLING DEAD LEAVES,pinch,900,947,29.967,31.533,948,31.567,48,48,0.656,145.180,5,0,0,1,0,1
11,TOUCHING,non_pinch_touch,948,950,31.567,31.633,951,31.667,3,0,,,0,0,1,0,0,0
